HammingWeight,CodeLength,CodeLengthWeight,OptLength
11,107,359520,48
12,91,305760,48
13,80,268800,48
14,72,241920,48
15,67,225120,48
16,63,211680,48
17,60,241920,48
18,57,229824,48
19,56,225792,48
20,54,217728,48
21,53,213696,48
22,53,213696,48
23,52,209664,48
24,52,209664,48
25,52,209664,48
26,52,209664,48
27,52,209664,48
28,52,209664,48
29,52,209664,48
30,53,213696,48
31,53,213696,48
32,53,213696,48
33,54,263088,48
34,54,263088,48
35,55,267960,48
36,56,272832,48
37,56,272832,48
38,57,277704,48
39,57,277704,48
